paper_id,title,authors,year,venue,supervision,architecture,datasets,metrics,paper_url,code_url,explainable,open_vocabulary,notes
memae_2019,Memorizing Normality to Detect Anomaly,Gong et al.,2019,ICCV,semi-supervised,autoencoder;memory,UCSD Ped2;Avenue;ShanghaiTech,AUC,https://openaccess.thecvf.com/content_ICCV_2019/html/Gong_Memorizing_Normality_to_Detect_Anomaly_Memory-Augmented_Deep_Autoencoder_for_Unsupervised_ICCV_2019_paper.html,,no,no,normality modeling
mnad_2020,Learning Memory-Guided Normality for Anomaly Detection,Park et al.,2020,CVPR,semi-supervised,autoencoder;memory,UCSD Ped2;Avenue;ShanghaiTech,AUC,https://openaccess.thecvf.com/content_CVPR_2020/html/Park_Learning_Memory-Guided_Normality_for_Anomaly_Detection_CVPR_2020_paper.html,,no,no,memory-guided prediction and reconstruction
vadclip_2024,VadCLIP: Adapting Vision-Language Models for Weakly Supervised Video Anomaly Detection,Wu et al.,2024,AAAI,weakly-supervised,vision-language model,UCF-Crime;XD-Violence,AUC,,,partial,yes,language-visual alignment
lavad_2024,Harnessing Large Language Models for Training-Free Video Anomaly Detection,Zanella et al.,2024,arXiv,training-free,vision-language model;LLM,UCF-Crime;XD-Violence,AUC,https://arxiv.org/abs/2404.01014,,yes,yes,caption-based anomaly reasoning
